occ_code,occ_title,match_status,imputed_from,dv_beta_imputed,exposure_residual
27-1026,Merchandise Displayers and Window Trimmers,direct,,0.3049,0
27-1027,Set and Exhibit Designers,direct,,0.3913,0
27-2011,Actors,direct,,0.1875,0
27-2012,Producers and Directors,direct,,0.4696,0
27-2021,Athletes and Sports Competitors,direct,,0.0,0
27-2022,Coaches and Scouts,direct,,0.3,0
27-2023,"Umpires, Referees, and Other Sports Officials",direct,,0.3125,0
27-2031,Dancers,direct,,0.0208,0
27-2032,Choreographers,direct,,0.2714,0
27-2041,Music Directors and Composers,direct,,0.7105,0
27-2042,Musicians and Singers,direct,,0.4082,0
27-2091,"Disc Jockeys, Except Radio",direct,,0.5263,1
27-3011,Broadcast Announcers and Radio Disc Jockeys,direct,,0.65,0
27-3023,"News Analysts, Reporters, and Journalists",direct,,0.65,0
27-3031,Public Relations Specialists,direct,,0.5909,0
27-3041,Editors,direct,,0.6471,0
27-3042,Technical Writers,direct,,0.7,0
27-3043,Writers and Authors,direct,,0.8771,0
27-3091,Interpreters and Translators,direct,,0.88,0
27-3092,Court Reporters and Simultaneous Captioners,direct,,0.9583,0
27-4011,Audio and Video Technicians,direct,,0.4375,0
27-4012,Broadcast Technicians,direct,,0.5238,0
27-4014,Sound Engineering Technicians,direct,,0.4259,0
27-4015,Lighting Technicians,direct,,0.1562,0
27-4021,Photographers,direct,,0.3854,0
27-4031,"Camera Operators, Television, Video, and Film",direct,,0.4242,0
27-4032,Film and Video Editors,direct,,0.5278,0
29-1011,Chiropractors,direct,,0.4545,0
29-1021,"Dentists, General",direct,,0.25,0
29-1022,Oral and Maxillofacial Surgeons,direct,,0.04,0
29-1023,Orthodontists,direct,,0.3,0
29-1024,Prosthodontists,direct,,0.0455,0
29-1031,Dietitians and Nutritionists,direct,,0.5488,0
29-1041,Optometrists,direct,,0.3,0
29-1051,Pharmacists,direct,,0.4286,0
29-1071,Physician Assistants,direct,,0.2708,0
29-1081,Podiatrists,direct,,0.2857,0
29-1122,Occupational Therapists,direct,,0.289,0
29-1123,Physical Therapists,direct,,0.1915,0
29-1124,Radiation Therapists,direct,,0.2805,0
29-1125,Recreational Therapists,direct,,0.3182,0
29-1126,Respiratory Therapists,direct,,0.2024,0
29-1127,Speech-Language Pathologists,direct,,0.4512,0
29-1128,Exercise Physiologists,direct,,0.26,0
29-1129,"Therapists, All Other",direct,,0.3656,1
29-1131,Veterinarians,direct,,0.2703,0
29-1141,Registered Nurses,direct,,0.3802,0
29-1151,Nurse Anesthetists,direct,,0.1667,0
29-1161,Nurse Midwives,direct,,0.3902,0
29-1171,Nurse Practitioners,direct,,0.4815,0
29-1181,Audiologists,direct,,0.4545,0
29-1211,Anesthesiologists,direct,,0.25,0
