supersector_code,supersector_name,year,quarter_label,quarter,event_time,post,employment,avg_hourly_earnings,log_emp,log_wage,log_wbill,n_months,preliminary,aiie_score,aiie_zscore,n_naics
30,Manufacturing,2019,Q2,2,-14,0,12783.333333333334,27.55,9.455897518127292,3.316002535598924,12.771900053726217,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2019,Q3,3,-13,0,12788.666666666666,27.756666666666664,9.456314641028174,3.3234760515796182,12.779790692607792,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2019,Q4,4,-12,0,12756.666666666666,28.006666666666664,9.453809289751636,3.332442577073126,12.786251866824763,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2020,Q1,1,-11,0,12724.0,28.286666666666665,9.451245252869034,3.342390551106069,12.793635803975103,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2020,Q2,2,-10,0,11647.333333333334,28.96333333333333,9.36283253436628,3.366030662183005,12.728863196549286,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2020,Q3,3,-9,0,12009.666666666666,28.826666666666668,9.393467160039958,3.3613008846628434,12.754768044702802,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2020,Q4,4,-8,0,12119.0,28.936666666666667,9.402529747968488,3.3651095337356067,12.767639281704094,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2021,Q1,1,-7,0,12181.0,29.126666666666665,9.407632639699958,3.3716541348551803,12.77928677455514,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2021,Q2,2,-6,0,12218.666666666666,29.47666666666667,9.410720116025168,3.383598989919534,12.794319105944702,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2021,Q3,3,-5,0,12350.333333333334,29.843333333333334,9.421438332245192,3.395961475977955,12.817399808223149,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2021,Q4,4,-4,0,12496.0,30.21333333333333,9.433163872079469,3.4082833280516414,12.841447200131109,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2022,Q1,1,-3,0,12613.0,30.53333333333333,9.442483307087192,3.418818983011975,12.861302290099168,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2022,Q2,2,-2,0,12742.666666666666,30.8,9.45271122171796,3.427514689979529,12.880225911697488,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2022,Q3,3,-1,0,12827.0,31.026666666666667,9.45930760329985,3.434847049765981,12.894154653065833,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2022,Q4,4,0,1,12891.333333333334,31.383333333333336,9.464310529942429,3.446276966435052,12.91058749637748,3,0,-0.4842463768115944,-0.7264192696790112,69
30,Manufacturing,2023,Q1,1,1,1,12896.333333333334,31.72666666666667,9.464698312220468,3.457157547024855,12.92185585924532,3,0,-0.4842463768115944,-0.7264192696790112,69
